Step,GAN_A-202102240258 - accuracy
1476,0.3125
1477,0.28125
1478,0.34375
1479,0.25
1480,0.3125
1481,0.375
1482,0.46875
1483,0.34375
1484,0.3125
1485,0.375
1486,0.3125
1487,0.28125
1488,0.34375
1489,0.25
1490,0.25
1491,0.53125
1492,0.3125
1493,0.28125
1494,0.4375
1495,0.3125
1496,0.375
1497,0.46875
1498,0.375
1499,0.28125
1500,0.375
1501,0.34375
1502,0.40625
1503,0.28125
1504,0.375
1505,0.4375
1506,0.40625
1507,0.28125
1508,0.25
1509,0.375
1510,0.28125
1511,0.25
1512,0.375
1513,0.3125
1514,0.4375
1515,0.375
1516,0.53125
1517,0.3125
1518,0.25
1519,0.375
1520,0.375
1521,0.4375
1522,0.375
1523,0.3125
1524,0.4375
1525,0.21875
1526,0.4375
1527,0.40625
1528,0.4375
1529,0.40625
1530,0.34375
1531,0.34375
1532,0.375
1533,0.3125
1534,0.3125
1535,0.375
1536,0.3125
1537,0.40625
1538,0.46875
1539,0.34375
1540,0.40625
1541,0.25
1542,0.375
1543,0.21875
1544,0.34375
1545,0.46875
1546,0.375
1547,0.3125
1548,0.46875
1549,0.40625
1550,0.25
1551,0.375
1552,0.28125
1553,0.3125
1554,0.4375
1555,0.1875
1556,0.40625
1557,0.4375
1558,0.375
1559,0.4375
1560,0.25
1561,0.4375
1562,0.125
1563,0.4375
1564,0.21875
1565,0.34375
1566,0.4375
1567,0.53125
1568,0.25
1569,0.53125
1570,0.46875
1571,0.375
1572,0.34375
1573,0.34375
1574,0.375
1575,0.40625
1576,0.28125
1577,0.28125
1578,0.375
1579,0.28125
1580,0.375
1581,0.46875
1582,0.40625
1583,0.40625
1584,0.53125
1585,0.40625
1586,0.46875
1587,0.28125
1588,0.4375
1589,0.375
1590,0.34375
1591,0.40625
1592,0.375
1593,0.34375
1594,0.4375
1595,0.28125
1596,0.4375
1597,0.28125
1598,0.3125
1599,0.3125
1600,0.34375
1601,0.3125
1602,0.46875
1603,0.375
1604,0.40625
1605,0.40625
1606,0.1875
1607,0.46875
1608,0.28125
1609,0.46875
1610,0.3125
1611,0.46875
1612,0.21875
1613,0.375
1614,0.4375
1615,0.34375
1616,0.28125
1617,0.4375
1618,0.28125
1619,0.3125
1620,0.40625
1621,0.34375
1622,0.25
1623,0.375
1624,0.5
1625,0.46875
1626,0.5
1627,0.40625
1628,0.1875
1629,0.46875
1630,0.34375
1631,0.375
1632,0.375
1633,0.28125
1634,0.25
1635,0.375
1636,0.125
1637,0.3125
1638,0.21875
1639,0.375
1640,0.40625
1641,0.5
1642,0.25
1643,0.34375
1644,0.1875
1645,0.375
1646,0.28125
1647,0.4375
1648,0.28125
1649,0.46875
1650,0.5
1651,0.46875
1652,0.21875
1653,0.3125
1654,0.34375
1655,0.46875
1656,0.4375
1657,0.34375
1658,0.40625
1659,0.28125
1660,0.375
1661,0.34375
1662,0.4375
1663,0.34375
1664,0.28125
1665,0.34375
1666,0.34375
1667,0.53125
1668,0.4375
1669,0.34375
1670,0.40625
1671,0.4375
1672,0.40625
1673,0.28125
1674,0.28125
1675,0.5
1676,0.25
1677,0.3125
1678,0.40625
1679,0.28125
1680,0.4375
1681,0.34375
1682,0.40625
1683,0.3125
1684,0.46875
1685,0.4375
1686,0.25
1687,0.375
1688,0.375
1689,0.40625
1690,0.46875
1691,0.28125
1692,0.40625
1693,0.375
1694,0.3125
1695,0.34375
1696,0.375
1697,0.46875
1698,0.25
